BMI,region
24.61538462,5
19.22337562,5
24.38652644,5
28.515625,5
21.4532872,5
21.20310523,5
26.95984034,5
21.14631991,5
20.68515024,5
18.81892431,5
27.68877813,5
24.12879237,5
23.87511478,5
26.3671875,5
23.42355741,5
28.17007212,5
27.05515088,5
20.37102963,5
20.28479857,5
25.71100827,5
21.484375,5
24.77961493,5
24.31412397,5
27.56184431,5
28.19428425,5
21.2585034,5
24.30461788,5
23.42209073,5
26.29757785,5
22.27617233,5
19.67516685,5
25.10387812,5
19.82860626,5
21.92612582,5
20.42979221,5
18.64534404,5
24.609375,5
22.7528617,6
25.30693205,6
27.20960781,6
27.34375,6
28.30385016,6
23.05175491,6
20.30741221,6
24.48979592,6
18.5975005,6
23.73321433,6
26.49302563,6
21.23057202,6
23.828125,6
20.82291337,6
23.4375,6
24.85907356,6
25.71100827,6
19.57168128,6
20.26447204,6
21.63331531,6
23.19159599,6
21.50188649,6
25.39021852,6
23.94111981,6
28.64124339,6
20.70081674,6
21.92886277,6
20.28479857,6
27.53122945,6
25.390625,6
25.60553633,6
27.84008973,6
27.00513097,6
20.79672989,6
19.95728441,6
26.91272587,6
28.88345421,6
19.72103697,6
24.50894577,6
22.65625,6
22.83737024,6
25.20478891,6
25.5588462,6
23.78121284,6
21.875,6
21.71806609,6
19.72103697,6
21.484375,6
17.20659784,6
16.13539388,6
22.93975069,6
22.18021424,6
15.50852452,6
19.72318339,6
25.30693205,6
27.6816609,6
27.30343838,6
23.7332384,6
26.14122798,6
19.53125,6
27.12237498,6
23.14049587,6
23.58467389,6
22.86236854,6
25.97011555,6
31.64431787,6
20.95717116,6
26.10656224,6
26.12861083,6
24.12174905,6
21.875,6
19.18536009,6
24.24242424,6
22.2136785,6
23.6328125,6
20.3125,6
20.54569362,6
21.64412071,6
23.922423,6
25.5588462,6
25.46847115,6
23.11111111,6
19.605192,6
24.86872506,6
25.0995016,6
25.0995016,6
25.72016461,6
24.44727891,6
21.50188649,6
27.54820937,6
25.5588462,6
26.03749399,6
26.84066824,6
22.03856749,6
23.38868656,6
22.10028959,6
24.39105884,6
22.77318641,6
25.96952909,6
23.80869017,7
23.71184463,7
24.21229339,7
25.07619305,7
22.48132907,7
24.03440715,7
19.5046224,7
24.03460984,7
27.40765728,7
24.45606342,7
23.06805075,7
27.18163009,7
19.39618823,7
24.44444444,7
24.5389649,7
21.8299522,7
26.70940171,7
22.58270917,7
24.67550027,7
25.2825699,7
26.29172382,7
26.48553975,7
22.48132907,7
18.96192742,7
25.39021852,7
22.86236854,7
26.70362358,7
21.96449704,7
24.50894577,7
24.8357635,7
18.85882198,7
31.12068671,7
25.47666009,7
19.67516685,7
24.14151925,7
24.29802788,7
31.04184182,7
27.10204082,7
25.84776822,7
28.87544005,7
19.57168128,7
23.6809603,7
23.95122659,7
27.70856381,7
22.86236854,7
29.35752192,7
24.48979592,7
24.76756592,7
20.32443826,7
23.922423,7
22.58955144,7
23.59700421,7
28.30599506,7
25.6311675,7
26.14268848,7
25.96454217,7
31.22945431,7
26.953125,7
25.20398137,7
20.47826661,7
22.27069851,7
27.02580965,7
25.31545429,7
25.95155709,7
19.14672216,7
21.92612582,7
23.87543253,7
26.29172382,7
36.328125,7
25.1825311,7
23.71184463,7
27.29322416,7
24.44937541,7
28.22897867,7
21.8299522,7
20.44913742,7
24.5603263,7
23.04123333,7
39.78286734,7
24.21229339,7
22.72043837,7
23.80540166,7
21.10726644,7
24.4646016,7
23.80540166,7
21.5450908,7
30.38501561,7
24.4140625,7
18.75,7
24.30240647,7
27.34375,7
25.9043101,7
23.29169942,7
27.40765728,7
22.4054402,7
24.21875,7
25.63691716,7
28.25096981,7
26.72287252,7
21.50446956,7
26.57312925,8
26.57312925,8
24.50894577,8
26.29757785,8
19.37716263,8
22.265625,8
23.58467389,8
24.8046875,8
22.47658689,8
23.75407981,8
22.09846291,8
23.8330046,8
24.94009487,8
23.29169942,8
24.88888889,8
25.36952432,8
20.94847983,8
26.22222222,8
23.78432855,8
18.73048907,8
24.56747405,8
22.29099702,8
22.03172568,8
20.2020202,8
26.57537949,8
22.20633069,8
24.44444444,8
22.67995241,8
26.62316053,8
23.14725512,8
24.67702134,8
20.17455375,8
20.25462963,8
32.43542581,8
17.17532039,8
20.57613169,8
24.76390759,8
19.81405274,8
27.41244646,8
19.72386588,8
28.94609886,8
23.30905307,8
24.61564579,8
19.39618823,8
24.34175829,8
26.18559979,8
22.03172568,8
22.54657648,8
26.56434475,8
25.21819218,8
22.4054402,8
25.71166208,8
24.16326531,8
26.953125,8
19.25702882,8
27.34375,8
23.87543253,8
22.31327843,8
22.03856749,8
27.04164413,8
28.76397107,8
19.05197378,8
26.63891779,8
22.82688093,8
23.14725512,8
22.80601728,8
28.125,8
21.87242282,8
22.58270917,8
20.703125,8
25.390625,8
24.9107674,8
25.21735858,8
22.49134948,8
25.07619305,8
26.23774725,8
28.1969212,8
25.6311675,8
22.80601728,8
24.44727891,8
28.76397107,8
19.77790681,8
21.97133586,8
24.44444444,8
24.14151925,8
20.54569362,8
26.57537949,8
24.38237298,8
26.0261749,8
35.26170799,8
23.06805075,8
22.47658689,8
19.73597649,8
25.43662875,8
28.24066656,8
27.67873898,8
28.06642387,8
28.13365651,8
21.49028551,8
19.10009183,8
26.80101983,8
33.74770387,9
21.19274242,9
25.5588462,9
24.77679525,9
19.81892708,9
26.03749399,9
21.63114885,9
22.81293394,9
20.88391156,9
23.51020408,9
25.25951557,9
27.29322416,9
24.09297052,9
23.80932833,9
27.99302203,9
23.42209073,9
27.44059917,9
22.03172568,9
27.30996814,9
27.40765728,9
24.94433717,9
24.27665478,9
21.78649237,9
22.95908766,9
21.64127424,9
27.84237168,9
24.6069494,9
25.43662875,9
18.97453196,9
19.10009183,9
22.15102251,9
25.59373706,9
27.29322416,9
22.82688093,9
18.98485775,9
25,9
23.14725512,9
23.03004535,9
21.70473447,9
19.53125,9
25.43268596,9
22.20633069,9
21.41094498,9
29.64951156,9
22.4996371,9
22.265625,9
25.23634033,9
21.49959688,9
22.76943835,9
25.11158315,9
26.05835362,9
23.83432142,9
24.14151925,9
24.33747972,9
25.96952909,9
24.84098009,9
28.58046933,9
22.65573092,9
20.07774787,9
24.88746537,9
22.09846291,9
27.0515928,9
24.76586889,9
20.28479857,9
