BMI,region
21.71925011,1
21.10726644,1
19.56823633,1
22.94811574,1
26.47210744,1
25.5036157,1
24.09297052,1
24.65590962,1
25.82644628,1
19.95728441,1
21.59073384,1
19.62323391,1
24.95874418,1
18.06616734,1
27.99036281,1
22.85714286,1
18.90203813,1
18.13121943,1
23.1206236,1
21.06674327,1
25.13589091,1
31.97501487,1
23.01117686,1
25.91068435,1
18.91964526,1
20.01549587,1
21.64412071,1
19.82855312,1
19.60763509,1
23.38868656,1
22.27069851,1
22.05219018,1
30.23823048,1
19.88038357,1
20.51913409,1
24.44727891,1
19.51668786,1
20.66115702,1
18.59103675,1
20.08195059,1
20.02884153,1
23.78121284,1
18.5178041,1
19.94805977,1
19.53125,1
23.87511478,1
21.79944511,1
24.72518293,1
20.86111966,1
20.19946976,1
23.63403301,1
15.69901699,1
21.02801905,1
24.03460984,1
23.25501864,1
22.05805119,1
26.5625,1
21.57497303,1
17.93902746,1
25.30693205,1
20.70081674,1
24.56165513,1
22.83737024,1
25.05930703,1
19.55352778,1
20.43816558,1
21.70473447,1
21.29529475,1
20.14797199,1
22.33150795,1
21.0498179,1
21.46915048,1
21.01775148,1
17.0392308,1
18.93491124,1
18.12523512,1
22.22222222,1
25.78125,1
26.64359862,1
17.56965112,1
18.81892431,1
24.74093729,1
23.03004535,1
19.67516685,1
23.80540166,1
23.7953599,1
17.25213485,1
19.81835773,1
19.23356075,1
19.65389491,1
26.1504748,1
18.73278237,1
21.4532872,1
21.36752137,1
19.77777778,1
21.2244898,1
21.07719523,2
25.82644628,2
22.65991248,2
20.95717116,2
19.89143367,2
19.33372992,2
19.53125,2
17.44492677,2
18.5528757,2
24.81363923,2
20.2020202,2
22.265625,2
23.42601142,2
19.8816568,2
23.93606231,2
25.14285714,2
18.1816706,2
20.56880661,2
25.14285714,2
22.05805119,2
18.64534404,2
21.35930625,2
22.0603538,2
22.83287935,2
19.59645812,2
22.32142857,2
20.70081674,2
20.80856124,2
20.9572742,2
22.64086462,2
22.03172568,2
25.34435262,2
21.63114885,2
24.74093729,2
21.2585034,2
19.3359375,2
23.40521694,2
31.16857818,2
18.21832243,2
19.84126984,2
25.35932397,2
23.53304271,2
26.29757785,2
21.62064772,2
23.19109462,2
20.56880661,2
22.40241556,2
23.62028791,2
24.87771968,2
27.77670615,2
20,2
20.80856124,2
19.82623984,2
22.15910864,2
22.34879949,2
24.8015873,2
18.13121943,2
20.10871273,2
21.98989237,2
21.98389218,2
23.33546614,2
23.35563691,2
23.61111111,2
22.86253448,2
17.40437483,2
20.9566075,2
16.73111243,2
22.65625,2
26.44265888,2
27.70083102,2
17.25838264,2
24.02380867,2
17.7999288,2
25.38146854,2
19.57168128,2
24.97398543,2
27.47562949,2
20.703125,2
18.14486863,2
18.92915089,2
21.484375,2
20.57613169,2
22.14532872,2
27.1430375,2
23.93898977,2
22.95908766,2
24.96494648,2
20.19557823,2
21.95324552,2
22.56857374,2
21.46915048,2
18.19548277,2
22.38631428,2
25.19882191,2
22.3183391,2
26.10120408,2
